ts_id,date,total,duoarea,process
3,2017-12-31,785029.0,NUS,VEU
3,2018-01-31,786001.0,NUS,VEU
3,2018-02-28,690022.0,NUS,VEU
3,2018-03-31,756528.0,NUS,VEU
3,2018-04-30,703919.0,NUS,VEU
3,2018-05-31,848085.0,NUS,VEU
3,2018-06-30,952554.0,NUS,VEU
3,2018-07-31,1223514.0,NUS,VEU
3,2018-08-31,1185530.0,NUS,VEU
3,2018-09-30,1029799.0,NUS,VEU
3,2018-10-31,887814.0,NUS,VEU
3,2018-11-30,762951.0,NUS,VEU
3,2018-12-31,762221.0,NUS,VEU
3,2019-01-31,848519.0,NUS,VEU
3,2019-02-28,779310.0,NUS,VEU
3,2019-03-31,813526.0,NUS,VEU
3,2019-04-30,739680.0,NUS,VEU
3,2019-05-31,836087.0,NUS,VEU
3,2019-06-30,990562.0,NUS,VEU
3,2019-07-31,1254667.0,NUS,VEU
3,2019-08-31,1277904.0,NUS,VEU
3,2019-09-30,1080775.0,NUS,VEU
3,2019-10-31,936668.0,NUS,VEU
3,2019-11-30,818868.0,NUS,VEU
3,2019-12-31,911529.0,NUS,VEU
3,2020-01-31,948931.0,NUS,VEU
3,2020-02-29,893044.0,NUS,VEU
3,2020-03-31,890784.0,NUS,VEU
3,2020-04-30,777804.0,NUS,VEU
3,2020-05-31,837108.0,NUS,VEU
3,2020-06-30,1041101.0,NUS,VEU
3,2020-07-31,1345797.0,NUS,VEU
3,2020-08-31,1276048.0,NUS,VEU
3,2020-09-30,1015907.0,NUS,VEU
3,2020-10-31,948293.0,NUS,VEU
3,2020-11-30,772059.0,NUS,VEU
3,2020-12-31,884847.0,NUS,VEU
3,2021-01-31,864025.0,NUS,VEU
3,2021-02-28,784546.0,NUS,VEU
3,2021-03-31,741980.0,NUS,VEU
3,2021-04-30,761281.0,NUS,VEU
3,2021-05-31,813818.0,NUS,VEU
3,2021-06-30,1087086.0,NUS,VEU
3,2021-07-31,1238444.0,NUS,VEU
3,2021-08-31,1262329.0,NUS,VEU
3,2021-09-30,988732.0,NUS,VEU
3,2021-10-31,939059.0,NUS,VEU
3,2021-11-30,868341.0,NUS,VEU
3,2021-12-31,878946.0,NUS,VEU
3,2022-01-31,961269.0,NUS,VEU
3,2022-02-28,814667.0,NUS,VEU
3,2022-03-31,779245.0,NUS,VEU
3,2022-04-30,748335.0,NUS,VEU
3,2022-05-31,925471.0,NUS,VEU
3,2022-06-30,1145902.0,NUS,VEU
3,2022-07-31,1400013.0,NUS,VEU
3,2022-08-31,1375253.0,NUS,VEU
3,2022-09-30,1121693.0,NUS,VEU
3,2022-10-31,949669.0,NUS,VEU
3,2022-11-30,903112.0,NUS,VEU
3,2022-12-31,993345.0,NUS,VEU
3,2023-01-31,967085.0,NUS,VEU
3,2023-02-28,870374.0,NUS,VEU
3,2023-03-31,931959.0,NUS,VEU
3,2023-04-30,868551.0,NUS,VEU
3,2023-05-31,995707.0,NUS,VEU
3,2023-06-30,1176416.0,NUS,VEU
3,2023-07-31,1471338.0,NUS,VEU
3,2023-08-31,1462470.0,NUS,VEU
3,2023-09-30,1191126.0,NUS,VEU
3,2023-10-31,1016374.0,NUS,VEU
3,2023-11-30,964981.0,NUS,VEU
3,2023-12-31,1013898.0,NUS,VEU
3,2024-01-31,1130985.0,NUS,VEU
4,2014-01-31,120915.0,NUS,VGL
4,2014-02-28,111800.0,NUS,VGL
4,2014-03-31,124673.0,NUS,VGL
4,2014-04-30,123603.0,NUS,VGL
4,2014-05-31,127034.0,NUS,VGL
4,2014-06-30,123570.0,NUS,VGL
4,2014-07-31,130405.0,NUS,VGL
4,2014-08-31,131115.0,NUS,VGL
4,2014-09-30,126840.0,NUS,VGL
4,2014-10-31,132368.0,NUS,VGL
4,2014-11-30,127279.0,NUS,VGL
4,2014-12-31,132541.0,NUS,VGL
4,2015-01-31,132608.0,NUS,VGL
4,2015-02-28,120370.0,NUS,VGL
4,2015-03-31,133856.0,NUS,VGL
4,2015-04-30,131408.0,NUS,VGL
4,2015-05-31,133834.0,NUS,VGL
4,2015-06-30,129215.0,NUS,VGL
4,2015-07-31,133945.0,NUS,VGL
4,2015-08-31,134098.0,NUS,VGL
4,2015-09-30,130591.0,NUS,VGL
4,2015-10-31,133961.0,NUS,VGL
4,2015-11-30,129096.0,NUS,VGL
4,2015-12-31,133407.0,NUS,VGL
4,2016-01-31,132516.0,NUS,VGL
4,2016-02-29,125722.0,NUS,VGL
4,2016-03-31,132875.0,NUS,VGL
4,2016-04-30,128499.0,NUS,VGL
4,2016-05-31,131270.0,NUS,VGL
4,2016-06-30,125818.0,NUS,VGL
4,2016-07-31,131076.0,NUS,VGL
4,2016-08-31,130037.0,NUS,VGL
4,2016-09-30,125008.0,NUS,VGL
4,2016-10-31,128669.0,NUS,VGL
4,2016-11-30,125558.0,NUS,VGL
4,2016-12-31,128282.0,NUS,VGL
4,2017-01-31,126894.0,NUS,VGL
4,2017-02-28,116217.0,NUS,VGL
4,2017-03-31,131579.0,NUS,VGL
4,2017-04-30,127491.0,NUS,VGL
4,2017-05-31,131738.0,NUS,VGL
4,2017-06-30,128725.0,NUS,VGL
4,2017-07-31,134387.0,NUS,VGL
4,2017-08-31,134312.0,NUS,VGL
4,2017-09-30,132252.0,NUS,VGL
4,2017-10-31,139089.0,NUS,VGL
4,2017-11-30,138792.0,NUS,VGL
4,2017-12-31,144427.0,NUS,VGL
4,2018-01-31,134390.0,NUS,VGL
4,2018-02-28,123921.0,NUS,VGL
4,2018-03-31,138799.0,NUS,VGL
4,2018-04-30,134093.0,NUS,VGL
4,2018-05-31,140156.0,NUS,VGL
4,2018-06-30,136321.0,NUS,VGL
