ts_id,date,total,Sex,state_and_territory,hier_1
2,1993-09-30,16603.57464747131,Females,Australian Capital Territory,2A
2,1993-12-31,17811.786412917078,Females,Australian Capital Territory,2A
2,1994-03-31,15287.71387720108,Females,Australian Capital Territory,2A
2,1994-06-30,15260.252809226513,Females,Australian Capital Territory,2A
2,1994-09-30,13536.2505742535,Females,Australian Capital Territory,2A
2,1994-12-31,14328.65818965435,Females,Australian Capital Territory,2A
2,1995-03-31,13594.36160583049,Females,Australian Capital Territory,2A
2,1995-06-30,15970.650740474463,Females,Australian Capital Territory,2A
2,1995-09-30,17076.360363826156,Females,Australian Capital Territory,2A
2,1995-12-31,17080.19988501072,Females,Australian Capital Territory,2A
2,1996-03-31,15867.115394711494,Females,Australian Capital Territory,2A
2,1996-06-30,16310.205760002136,Females,Australian Capital Territory,2A
2,1996-09-30,17727.581142425537,Females,Australian Capital Territory,2A
2,1996-12-31,17441.84043121338,Females,Australian Capital Territory,2A
2,1997-03-31,17984.07157254219,Females,Australian Capital Territory,2A
2,1997-06-30,17637.22867155075,Females,Australian Capital Territory,2A
2,1997-09-30,18631.48117041588,Females,Australian Capital Territory,2A
2,1997-12-31,18287.379655480385,Females,Australian Capital Territory,2A
2,1998-03-31,18060.45623087883,Females,Australian Capital Territory,2A
2,1998-06-30,17416.866916894913,Females,Australian Capital Territory,2A
2,1998-09-30,18538.60138654709,Females,Australian Capital Territory,2A
2,1998-12-31,19267.299030303955,Females,Australian Capital Territory,2A
2,1999-03-31,20022.386004447937,Females,Australian Capital Territory,2A
2,1999-06-30,19388.657320976257,Females,Australian Capital Territory,2A
2,1999-09-30,19821.348434448242,Females,Australian Capital Territory,2A
2,1999-12-31,22557.707056760788,Females,Australian Capital Territory,2A
2,2000-03-31,21628.39132499695,Females,Australian Capital Territory,2A
2,2000-06-30,21813.497111558914,Females,Australian Capital Territory,2A
2,2000-09-30,21813.70624613762,Females,Australian Capital Territory,2A
2,2000-12-31,22573.95039176941,Females,Australian Capital Territory,2A
2,2001-03-31,24187.734375715256,Females,Australian Capital Territory,2A
2,2001-06-30,23579.45807337761,Females,Australian Capital Territory,2A
2,2001-09-30,22120.994092941284,Females,Australian Capital Territory,2A
2,2001-12-31,21394.308536291122,Females,Australian Capital Territory,2A
2,2002-03-31,22755.551509141922,Females,Australian Capital Territory,2A
2,2002-06-30,22895.601621627808,Females,Australian Capital Territory,2A
2,2002-09-30,25383.907132148743,Females,Australian Capital Territory,2A
2,2002-12-31,26398.28534269333,Females,Australian Capital Territory,2A
2,2003-03-31,25986.73421382904,Females,Australian Capital Territory,2A
2,2003-06-30,25992.1173620224,Females,Australian Capital Territory,2A
2,2003-09-30,24365.466042995453,Females,Australian Capital Territory,2A
2,2003-12-31,25884.281350135803,Females,Australian Capital Territory,2A
2,2004-03-31,25404.20743703842,Females,Australian Capital Territory,2A
2,2004-06-30,25339.985471248627,Females,Australian Capital Territory,2A
2,2004-09-30,25765.912754058838,Females,Australian Capital Territory,2A
2,2004-12-31,26471.658484220505,Females,Australian Capital Territory,2A
2,2005-03-31,24905.26663684845,Females,Australian Capital Territory,2A
2,2005-06-30,24476.253961086273,Females,Australian Capital Territory,2A
2,2005-09-30,24520.81263613701,Females,Australian Capital Territory,2A
2,2005-12-31,26950.860946655273,Females,Australian Capital Territory,2A
2,2006-03-31,26933.996567964554,Females,Australian Capital Territory,2A
2,2006-06-30,27396.171828746796,Females,Australian Capital Territory,2A
2,2006-09-30,27444.006225585938,Females,Australian Capital Territory,2A
2,2006-12-31,27199.46565246582,Females,Australian Capital Territory,2A
2,2007-03-31,27335.797080993652,Females,Australian Capital Territory,2A
2,2007-06-30,27080.454818725586,Females,Australian Capital Territory,2A
2,2007-09-30,25434.4917678833,Females,Australian Capital Territory,2A
2,2007-12-31,23625.16291809082,Females,Australian Capital Territory,2A
2,2008-03-31,26858.84380340576,Females,Australian Capital Territory,2A
2,2008-06-30,29332.938331604004,Females,Australian Capital Territory,2A
2,2008-09-30,29816.569175720215,Females,Australian Capital Territory,2A
2,2008-12-31,27059.689666748047,Females,Australian Capital Territory,2A
2,2009-03-31,29131.480308532715,Females,Australian Capital Territory,2A
2,2009-06-30,30300.811965942383,Females,Australian Capital Territory,2A
2,2009-09-30,33066.141525268555,Females,Australian Capital Territory,2A
2,2009-12-31,31063.813079833984,Females,Australian Capital Territory,2A
2,2010-03-31,30811.056762695312,Females,Australian Capital Territory,2A
2,2010-06-30,33237.595962524414,Females,Australian Capital Territory,2A
2,2010-09-30,28507.32192993164,Females,Australian Capital Territory,2A
2,2010-12-31,27643.77939605713,Females,Australian Capital Territory,2A
2,2011-03-31,28389.08805847168,Females,Australian Capital Territory,2A
2,2011-06-30,28885.80908203125,Females,Australian Capital Territory,2A
2,2011-09-30,32054.549003601074,Females,Australian Capital Territory,2A
2,2011-12-31,31978.895683288574,Females,Australian Capital Territory,2A
2,2012-03-31,28981.76554107666,Females,Australian Capital Territory,2A
2,2012-06-30,32066.505630493164,Females,Australian Capital Territory,2A
2,2012-09-30,33182.60729980469,Females,Australian Capital Territory,2A
2,2012-12-31,34086.741149902344,Females,Australian Capital Territory,2A
2,2013-03-31,36209.696922302246,Females,Australian Capital Territory,2A
2,2013-06-30,36285.05493927002,Females,Australian Capital Territory,2A
2,2013-09-30,36330.91532897949,Females,Australian Capital Territory,2A
2,2013-12-31,37067.130142211914,Females,Australian Capital Territory,2A
2,2014-03-31,33878.220359802246,Females,Australian Capital Territory,2A
2,2014-06-30,31708.442184448242,Females,Australian Capital Territory,2A
2,2014-09-30,33395.03042602539,Females,Australian Capital Territory,2A
2,2014-12-31,37606.581619262695,Females,Australian Capital Territory,2A
2,2015-03-31,32567.261421203613,Females,Australian Capital Territory,2A
2,2015-06-30,37637.19546508789,Females,Australian Capital Territory,2A
2,2015-09-30,35163.94630432129,Females,Australian Capital Territory,2A
2,2015-12-31,37014.09316253662,Females,Australian Capital Territory,2A
2,2016-03-31,36958.015716552734,Females,Australian Capital Territory,2A
2,2016-06-30,38554.934967041016,Females,Australian Capital Territory,2A
2,2016-09-30,38770.591311745346,Females,Australian Capital Territory,2A
2,2016-12-31,34709.87068653107,Females,Australian Capital Territory,2A
2,2017-03-31,37666.3431828022,Females,Australian Capital Territory,2A
2,2017-06-30,37394.68416458368,Females,Australian Capital Territory,2A
2,2017-09-30,39023.288476884365,Females,Australian Capital Territory,2A
2,2017-12-31,42108.451368153095,Females,Australian Capital Territory,2A
2,2018-03-31,42561.45114552975,Females,Australian Capital Territory,2A
2,2018-06-30,39212.37260425091,Females,Australian Capital Territory,2A
2,2018-09-30,35569.34916347265,Females,Australian Capital Territory,2A
2,2018-12-31,43326.371803700924,Females,Australian Capital Territory,2A
2,2019-03-31,43714.81780076027,Females,Australian Capital Territory,2A
2,2019-06-30,43523.70317721367,Females,Australian Capital Territory,2A
2,2019-09-30,40102.834157407284,Females,Australian Capital Territory,2A
2,2019-12-31,40900.39711147547,Females,Australian Capital Territory,2A
2,2020-03-31,42035.775800049305,Females,Australian Capital Territory,2A
2,2020-06-30,43752.30245345831,Females,Australian Capital Territory,2A
2,2020-09-30,46541.00482875109,Females,Australian Capital Territory,2A
2,2020-12-31,43041.15265619755,Females,Australian Capital Territory,2A
2,2021-03-31,42597.040415763855,Females,Australian Capital Territory,2A
2,2021-06-30,43997.848494529724,Females,Australian Capital Territory,2A
2,2021-09-30,43506.73709589988,Females,Australian Capital Territory,2A
2,2021-12-31,43556.5586424768,Females,Australian Capital Territory,2A
2,2022-03-31,42203.60061805695,Females,Australian Capital Territory,2A
2,2022-06-30,44052.938245654106,Females,Australian Capital Territory,2A
2,2022-09-30,42790.2532941103,Females,Australian Capital Territory,2A
2,2022-12-31,47857.532903552055,Females,Australian Capital Territory,2A
2,2023-03-31,45468.49520391226,Females,Australian Capital Territory,2A
2,2023-06-30,51037.89861279726,Females,Australian Capital Territory,2A
2,2023-09-30,49879.371463537216,Females,Australian Capital Territory,2A
2,2023-12-31,48648.80982422829,Females,Australian Capital Territory,2A
2,2024-03-31,52295.22823005915,Females,Australian Capital Territory,2A
2,2024-06-30,53307.78118300438,Females,Australian Capital Territory,2A
2,2024-09-30,53477.68169540167,Females,Australian Capital Territory,2A
3,1986-09-30,2671.722553819418,Females,Australian Capital Territory,3A
3,1986-12-31,2597.348798006773,Females,Australian Capital Territory,3A
3,1987-03-31,2464.437051668763,Females,Australian Capital Territory,3A
3,1987-06-30,3211.5847294032574,Females,Australian Capital Territory,3A
3,1987-09-30,2633.0237158834934,Females,Australian Capital Territory,3A
3,1987-12-31,2958.037368223071,Females,Australian Capital Territory,3A
3,1988-03-31,2448.051400899887,Females,Australian Capital Territory,3A
3,1988-06-30,2967.073302552104,Females,Australian Capital Territory,3A
3,1988-09-30,3243.0531783401966,Females,Australian Capital Territory,3A
3,1988-12-31,2203.2283654659986,Females,Australian Capital Territory,3A
3,1989-03-31,2702.8910736590624,Females,Australian Capital Territory,3A
3,1989-06-30,3135.234491735697,Females,Australian Capital Territory,3A
3,1989-09-30,2629.8569540828466,Females,Australian Capital Territory,3A
3,1989-12-31,2353.6628761589527,Females,Australian Capital Territory,3A
3,1990-03-31,2127.2036113739014,Females,Australian Capital Territory,3A
3,1990-06-30,2724.2301375567913,Females,Australian Capital Territory,3A
3,1990-09-30,2419.787018120289,Females,Australian Capital Territory,3A
3,1990-12-31,2517.678429469466,Females,Australian Capital Territory,3A
3,1991-03-31,3415.5960728526115,Females,Australian Capital Territory,3A
